doctor_id,department,current_status
D001,neurology,available
D002,cardiology,available
D003,general,available
D004,general,on_leave
D005,orthopedics,available
D006,pediatrics,available
D007,cardiology,on_leave
D008,neurology,in_surgery
D009,orthopedics,available
D010,cardiology,available
D011,cardiology,available
D012,neurology,available
D013,neurology,available
D014,general,in_surgery
D015,pediatrics,on_leave
D016,orthopedics,available
D017,pediatrics,available
D018,orthopedics,available
D019,cardiology,available
D020,neurology,available
D021,neurology,available
D022,cardiology,available
D023,cardiology,available
D024,orthopedics,available
D025,cardiology,available
D026,orthopedics,available
D027,pediatrics,available
D028,neurology,available
D029,neurology,available
D030,neurology,available
D031,pediatrics,in_surgery
D032,pediatrics,available
D033,general,available
D034,orthopedics,available
D035,orthopedics,available
D036,general,in_surgery
D037,neurology,on_leave
D038,orthopedics,available
D039,orthopedics,available
D040,neurology,available
D041,cardiology,available
D042,cardiology,available
D043,general,available
D044,pediatrics,available
D045,orthopedics,available
D046,orthopedics,in_surgery
D047,general,available
D048,general,available
D049,orthopedics,available
D050,neurology,available
